/Users/tomoki/anaconda/bin/python3 /Applications/PyCharm.app/Contents/helpers/pydev/pydevd.py --multiproc --qt-support=auto --client 127.0.0.1 --port 61166 --file /Users/tomoki/PycharmProjects/unimorph-task1/main.py
pydev debugger: process 31811 is connecting

Connected to pydev debugger (build 173.4127.16)
[dynet] random seed: 1167912836
[dynet] allocating memory: 512MB
[dynet] memory allocation done.
loss: 28383.70592880249
يَسْتَكْلِبَا تَانِي
أَطْعِمَةَ مَارَانِ
اُمْتُحِنَ مَمْتَانِ
الِانْفِعَالِيِّين الْمَالِيرَان
اِسْتَرْدَدْتَ تَمْتَانِ
السَّدِيمَ الْمَالِيرَان
اِتَّخَذَا مَانِيْنِ
الْعَاهِرَاتِ الْمَالِيْنِ
لُوبِيَاءٌ مَارَانِ
يَسْجُدْنَ تَرَانِي
تَهْلُكَةُ تَسْرَا
غَزَارَتَانِ مَارَانِ
الطَّالِبَةِ الْمَالِي
الْوَكِيلَيْنِ الْمَالِيْنِ
يُجْلِدُو تُرَانِي
هَيُولِيَّيْن مَالِيْنِ
مُتَكَلِّمَتَيْ اِسْتَانِ
التَّوْبَةَ الْمَالِيْنِ
مُتَعَجْرِفَاتٌ الْمَسْتَانِيرَانِي
الْعُلْجُومَيْنِ الْمَالِيْنِ
فِعْل  الْمُعْتَلّ مَرْتَانِيْنِ
بَضَائِعَ مَارَانِ
تَحْتَرِمِي تَاتَرَا
الْفُنُونَ الْمَالِيْنِ
مُؤَرِّخِي مَمْرَانِ
يُدَّعَيَا تُرَانِي
الْفَجْوَةَ الْمَالِيْنِ
رَزَّزْتُمْ مَرَانِ
تُجَهِّزَا تَرَا
لَاجِئ مَارَانِ
بَنْكَا مَرَانِ
شَبَاحَةُ مَمَانَا
رَاكِبَ مَرَانِ
تُضَافَانِ تُرَانِ
اِئْتَمَمْتُمْ مَمْتَانِ
الِاحْتِلَامَاتِ الْمَاتِرَانِيْنِين
دِيكَانِ مَالَانِ
حَرْفَا الْجَرِّ الْمَالِين
يُجَدَّدَا تُرَا
أَحْتَوِ اِسْتَانِيْنِ
تَحْقَوْقِفُ تَمْرِي
خِلَافًا مَارَانِ
تُفْتَكَرُ تَاتَانِي
أُور مَارَانِ
اِسْتِئْمَانَ اِسْتَانْتَانَا
طَرِيَّيْنِ مَمَانِ
صَالُونَيْنِ مَارِيْنِ
السِّمْحَاقَ الْمَانِين
الِانْفِعَالِيَّة الْمَارِيرَان
فُتِّشُوا مَرْرَا
قَطِيعُ مَرَانِ
نِظَامِيَّتَانِ مَارَانِ
كُولِيرَا مَارَانِ
الْمُثُول الْمَالِين
تَنْحَمِلِي تَمْتَانِي
يُسْتَقْبَحْنَ تَاتَرَا
الْعَسَلَيْنِ الْمَالِيْنِ
الْخُطْر الْمَالِيرَان
شِعْتَ مَانِيَا
مُرَشَّحٌ مَرْرَانِ
تَفَرْنَسُو تَسْتَانِ
الضَّابِطَةِ الْمَالِي
تَنْشَغِفْنَ تَمْتَانِي
أَزَائِفُ مَرَانِيْنِ
أُلْغَ تَرَانِ
يَطَأْنَ تَرَانِي
الْجُذْبَيَات الْمَارِين
أُشِرْتُ مَمْرَا
شَفَةً مَرَانِ
الدَّرَاوِيشُ الْمَالِيرَان
سَلَاسِلَ مَرْرَانِيْنِ
سِكَكُ مَرَانِ
اِتِّحَاد اِسْتَانِي
التَّجْدِيدُ الْمَسْتِيرَان
التَّصْوِيرِ الْمَالِيْنِ
يُنَاقَشَا تُرَانِي
تَهَيَّأَ تَرَانِ
تُنِيرُ تَمَانِي
اِقْتَرَبْنَا مَمْتَانِي
نُعْتَمَرْ تَمْتَانِي
أَهْمَلْتُ مَرْرَا
اِسْلَنْطِحْنَ اِسْتَانِي
مَحَلَّاتٌ مَرَانِيْنِ
أَلْسِنَةِ مَرَانِيْنِ
الْجَرِيمَتَيْنِ الْمَالِيْنِ
يَتَمَنَّيْنَ تَسْتَا
الشِّغَال الْمَالِيْن
الْحَلَبِيُّونَ الْمَالِيَانِ
كَفَاءَتَيْ مَارَا
تُفَتَّشُ تَرَانِ
الثَّانِي الْمَالِيْنِ
عِيدِيَّةَ مَرَانِ
فَرَادِيس مَرْرَانِ
اُسْتُجْمِعَتْ اِسْتَانِي
الْحَلُّوفَ الْمَالِيْنِ
الرَّتِيبَيْن الْمَالِيَانِ
يَسْقِيَانِ تَرَانِي
أُحْوَجُ تَمَا
أَضْرَغِطَّ تَمْرَا
الْإِسْلَاك الْمَالِيرَان
تَنْحَمِلُو تُسْتَانِي
تُذَاكِرْ تُرَانِي
يُنْهُونَ تَرَانِي
مَلَامٍ مَارَانِ
مِحْوَرَيْنِ مَمْرَانِ
صَدِيقَاتِ مَرَانِيْنِ
تُحَامِي تُرَانِي
مَهْجُوم مَرَانِ
السَّمْرَاءُ الْمَانِي
تُحْتَسَبَانِ تَاتَانِي
رَحِيمَيْنِ مَرَانِيْنِ
اِفْتَعَلْتُنَّ مَمْتَانِي
التَّطْرِيحَ الْمَسْتِيرَان
وِتَارِ مَرَانِيْنِ
تُرَبِّيَانِ تَرَانِيَا
الصُّومَالِيَّات الْمَالِيرَان
السَّانْدْوِيتْشَ الْمَارِيرَان
تُنَاقِشَا تَانِي
التَّفْقِيط الْمَارِير
خَيْمَتَيْنِ مَارَانِ
قُرَشِيِّين مَرْرَانِ
أَهْجِرَا تَمْرَا
مُقَايَس الْمَارِين
بَطُؤْتُمَا تَرَانِ
نَافِسْ تَارِي
يُحْمَيَانِ تُرَا
جَبْهَةَ مَرَانِ
قَهْقِهِي تَرَانِ
تُرْشَيَا تَمَانِ
الِانْزِوَاءَ الْمَالِيرَان
يُنْبِئْنَ تُرَانِي
نُسْتَجَارَ تَمْتَانِي
اُسْتُنَّ مَمْتَانِي
طُقُوسُ مَرْرَا
تَكْفِيرَ تَسْرَانِ
أَطْعِمَةِ مَارَانِ
مِيزَان مَارَانِي
صُمُودًا مَمْرَانِ
يَصْطَبِرَا تُرَانِي
الْعَجَالَى الْمَالِيَانِ
تُبَسْمَلِي تَمْتَا
خَيْمَتَيْ مَرَانِ
الْعُنْوَانِ الْمَالِيْنِ
تَدْحِي تَمَا
تُنَادُوا تُرَانِي
تُطَهِّرُونَ تَرَانِي
تَعَالَتَا تَمْرَا
أُسْتَقْبَحْ اِسْتَانِي
فِنْلَنْدِيَّتَيْ مَرَاْنِيْنِ
قُرَى مَرَانِيْنِ
اِعْوِجَاجٌ مَارَانَانِ
نَتَعَشَّ تَسْرَا
رَبَطَاتٍ مَرَانِيْنِ
الْحُزَمَ الْمَالِيْنِ
رُضِينَ مَرَانِ
تَدُومَانِ تَالِي
تَشَيْطَنُوا تَرْرَا
أَضَفْتِ مَمْرَا
اِذْلَوْلِي اِسْرَا
يُجَاعَ تُرَا
مُدْهِشَانِ مَرَانِيْنِ
اِسْتَبْدَلُوا مَمْتَانَا
مُسْتَأْجَر الْمَانْتَانِي
تَنْكَرِبْنَ تُسْتَانِي
أَمِيرَتَيْنِ مَمْرَانِ
النِّدَاءَ الْمَالِيْنِ
يَقْتَضِبْنَ تَمْتَانِي
تُدْمِنَانِ تَرْتَانِي
الْقَدِيرَةُ الْمَارِين
كَرَاهِيَةً مَارَانِ
قُصْوَيَيْن مَرْرَا
غَرِيبَة مَارَان
تَسْتَذْنِبَا تَاتِي
أُعْجَمُ تَمْرَا
حُنِيتُمَا تَرَا
الْمُشْمِسَتَانِ الْمَالِي
الزَّائِفُ الْمَالِيَا
تَغْيِير مَارَارَان
مَنَارَةٌ مَرْرَانِ
ذِهْنٌ مَرْرَانِ
زَهَدَتَا مَرَا
يَسْقُطَ تَرَانِ
إِقْمَارٌ مَمْمَانَانِ
إِيجَابًا مَارَانِ
الْأَبْخَلَيْنِ الْمَالِيْنِ
تُقَلَّدْنَ تُرَانِ
عَبَّاس مَارَانِ
الْأَصَمّ الْمَانِي
الْمُمَثِّلِينَ الْمَالِين
الْفِرَاقِ الْمَالِيرَان
الْمُهَاجِمَيْن الْمَالِي
الزَّرْكَشَةُ الْمَارِين
الْمِثَالُ الْمَالِيْنِ
مَقْطُوعَتَانِ مَرَانِيْنِ
دُحْرِجَ مَرَانِ
النَّفَاذ الْمَالِين
يُسْتَذْنَبُو تَمْتَانِي
فُولَاذٌ مَارَانِ
ثَوْب مَانَان
سَاخِنَتَانِ مَارَا
مَوْهُ مَارَا
دُعِيتُ مَمَانَا
تُشَقْ تُرَانِي
بَخْشِيشَ مَرَانِيْنِ
تَكْفُوا تَرَا
أُسَانَدُ تُرَانِي
الْقَوْمَةُ الْمَالِيْنِ
الْحِفَافَ الْمَالِيرَان
الْحُكُومَتَيْنِ الْمَالِيْنِ
كَلِمَاتُ مَرَانِيَانِ
تَخْشَوْشِنَانِ تَارِي
تَحْتَرِمَانِ تَمْتَانِي
الطِّحَالِ الْمَالِيْنِ
تُسْتَجْنَنَّ تَاتَانِي
نُرَاحُ تَمَانِيَا
غُذُوا مَانَا
جِنَيْهَا مَرَانِ
جَاوَرْنَا مَارَانِي
تُسَمَّمُ تُرَانِ
تُقَمْقَمَانِ تَمْرَا
تَتَوَكَّئِي تَمْرَا
الْخُرْشُوفُ الْمَارِين
يَسْتَضِيئُو تَمْتَانِي
يَلْتَهِمَا تَاتَانِي
الْإدْحِيّةِ الْمَالِيْنِ
عَقَارِب مَمْرَانِي
يَرْتَبِكْنَ تَمْتَانِي
الْعَقْلَانِ الْمَالِيْنِ
اِسْتَظْهَرْنَا تَمْتَانِي
اِنْتِخَابُ اِسْتَانْتَانَا
عُظْمَيَيْنِ مَمْرَا
شَاشَةِ مَارَا
عَاهِرَةً مَارَانِ
التَّحْوِيلِ الْمَالِيْنِ
الْمُفْتِيَ الْمَانِي
مُتَدَاوَلَتَيْن مَسْتَانِيْنِ
اُنْكُحْ تَرَا
سِلَاحِ مَرَانِيْنِ
تَنْفِينَ تَرَا
الْمَجَّانِيَّانِ الْمَالِيْنِ
دَفِيئَةٌ مَرَانِيْنِ
يَرْتَجِلَا تَمْتَانِي
سُجُود مَرَانِ
الْفِرْدَوْسَ الْمَارِين
أَسْتَعِذْ اِسْتَانِي
مَكْتَبَيْنِ مَرْتَانِ
الْمَقْرَبَةُ الْمَانِين
شَارَكَا مَارَا
تُسْتَطَاعِينَ تَاتِي
أُهَنْدِسَ مَرَانِي
تَعْيِينَ تَرْرَانِ
تَزُورَا تُرَانِي
صَابَحُوا مَانِيْنِ
يُسَخِّرُ تَرَانِي
اِخْتَرْتُنَّ مَانِي
تُنْصَفُ تَرَانِ
أُهِنْ مَمَانِ
نَسْتَثْنِيَ اِسْتَانِيْنِ
فِتْنَة مَرْرَانِ
شِمَاسٌ مَارَانِ
الْأَزَلِيَّ الْمَالِيْنِ
يُبْهَمْنَ تُرَانِ
السَّاقِطَتَيْن الْمَالِي
رِيَالَات الْمَارَانَان
ثَوْر اِرَانِ
تُبَارَكْ تُرَانِي
مُتَوَفَّاةٍ مَرْرَانِ
تُسْتَثْنَيْنَ تَاتَرَا
تَحْصُلِي تَرَا
اُسْتُثْنِيتُ اِسْتَانْنَا
تَعْطِيلَ تَسْرَانِ
الشَّجَاعَةُ الْمَالِين
الْإِبَاءَةُ الْمَالِيَان
يُطْعِمْنَ تُرَانِي
الْيَتِيمَةُ الْمَالِيرَان
نَسْتَحِمَّ تَمْتَانِي
جَنَازَةُ مَرَانِ
عَجِيبَةً مَرَانِ
الضَّبّ الْمَالِيْن
الْوَزِيرُ الْمَالِيْنِ
تُقْعَدُ تُرَانِ
كَامِيرَتَيْ مَارَانِيْنِ
الْحَدَاثَةِ الْمَالِيْنِ
تَنْحَمِلْنَ تُسْتَانِي
رُغِبُوا مَرَانِ
مُرِيحِينَ مَرَانِيْنِيْنِ
تُكَاثَرْ تُرَانِي
نُحَيِّ مَارَا
الْمُشَاةَ الْمَالِيَان
سَابِقَةٍ مَارِين
ذَاكَرَ مَانِي
تَطْهِيرًا تَسْرَانِيْنِ
الْوَحْدَانِيَّانِ الْمَالِيْنِ
الْخَشِن الْمَالِي
مُبْتَدِئِي مَرْتَانِيْنِ
تَزْوِيَةِ تَرَانِ
مَوْطُوء مَارَا
تُفَاجِئَا تَارِي
أَخْرَنْمِسُ اِسْتَانِي
يُنَافِسُونَ تُرَانِي
مَاشِيَا مَالَا
فَتْوَيَانِ مَرْرَا
تُسَانَدْنَ تُرَانِي
سَيِّدَا مَرَانِ
يُتْقَنَّ تَسْتَرَرَا
مَأْكَلِ مَرْرَا
تُسْقَيْنَ تُسْتَا
صَابَحْتُ مَارِي
إِلْزَامِ مَارَا
يَصْطَلِ تُرَانِي
أَوْهَامُ مَالَانِ
يُنْبِئَا تَرَانِي
دَعَوَا مَانَا
اُسْتُخْدِمَتَا اِسْتَانِي
تُهْمِلَا تَمْرَا
تُحَارِبَا تَانِي
إِتْرِيُومَ مَرْرَانِ
تُلَاقُونَ تُرَانِي
اللَّامُبَالَاة الْمَانِيرَان
الِازْدِحَامُ الْمَانِين
التَّكْمِيل الْمَارِير
مُنَاخٌ مَمْرَانِ
تُسْتَشْعَرُ تَانِي
الْمَاطِرُ الْمَالِي
اِشْتَهَرَتَا مَمْتَانِي
مِسْمَارَا مَرَانِيْنِ
جَاذِبَيْنِ مَارَا
أُسْتَهْدَفَ تَمْتَانِي
حَشْوَانُ مَرَانَا
إِصْغَارِ مَرَانِيْنِ
أَشْتَرِ اِسْتَانِيْنِ
رُغِبَتْ مَرَا
النِّظَافُ الْمَالِيَانِ
الْحَلَالِيفُ الْمَالِيْنِ
بُوحِثْتُ مَارَا
جَدِيرِينَ مَرَانِيْنِ
تُزْحَرَا تَمَانِ
يَشْفُونَ تَرَانِيَا
الْمُزْدَحِمِينَ الْمَالِيْنِ
الْمَبْلُولَةِ الْمَالِيْنِ
الْإِلِكْتْرُونِيَّتَيْن الْمَارِيرَانِ
اِكْتَتَبْتُنَّ تَمْتَانِي
أُجَرَ مَرَانِيْنِ
تَقْعُدَانِ تَرَانِ
صَلْصَاتٍ مَمْرَانِ
أَسْقَوْا مَرْرَا
تُعْتَادُو تُسْتَانِي
تَسَرَّيْنَ تَسْرَا
الْكَارَاتِيهَ الْمَانِيرَان
قِمَّتَيْ مَرَا
يَعْتَزِمْنَ تُسْتَانِي
الْمِنْخَرِ الْمَالِي
الْخِمَار الْمَالِيرَان
تَأْتَمِرُو تَمْتَانِي
مُتَوَكِّئ اِسْرَا
كِدْتُ مَارَا
يُوقَيَا تُرَا
نِيُون مَارَان
صُحِبَتْ مَرَا
التَّذْبِيحِ الْمَانِين
رَانَ مَانَا
تَسْتَرْجِلْنَ تَمْتَرَانِي
يَسْتَظْهِرَانِ تَمْتَانِي
حَدَائِدُ مَمْرَانِيْنِ
الْخَنْجَرُ الْمَارِين
النِّظَامَيْنِ الْمَالِيْنِ
إنِسِيَالِسْمَْ مَرْرَانِ
أُلْتَمَسَ اِسْتَانِي
اِسْتَنْسَبْنَ تَسْتَانِيْنِ
حَقِيبَتَيْ سَفَرِ مَرْرَانِيْنِ
سَارِقَتَا مَارَانِ
تَوْتِيرُ تَرْتَانِ
accuracy: 0.0
loss: 21190.820086479187
إِشْهَادٍ مَمْمِيَانِي
الْإِبِلَ الْمَانِينِ
الشَّبَاحَةُ الْمَارِيَانِ
قِرَاءَة مَارَان
مُثَنَّيَاتٍ مَرِينِ
أُسَمِّمَ مُرْرِي
يُلَامَسُو يُرَاتَرْنَنَا
تُقْتَضَبَانِ يُتَانِي
اِسْتَتِيبَا تُتَانِرَا
مُنَاسِبَة مَارِين
الْخَلْفِيِّ الْمَرِينِ
فُقِّطَا اِسْرِرَا
عَاطِفِيًّا مَانِرِينِ
تَسَلٍّ تَسْرِينَ
دُولَاب مَارَان
يَدْحُوَا يُرَانِيَا
أَزْدَنْ اِسْرِينِ
كِيمِيَائِيَّتَيْنِ مَارِينَانِ
أَمْضَيَيْنِ مَرْرَانِ
جَرِيئَتَيْن مَرِينِ
الْأَوَاخِر الْمَارِيَان
تَعْتَزِمُونَ تُْتَسْتَرْنَرْنَ
رُوفِقَتْ مُرْرَرْنَرَا
ضَمَان مَرَارَان
تُدَحْرَجُو تُرْرَرْنَرَ
تَسْخِيرِ تَرِينِ
حُرَّيَيْنِ مَرْرَانِ
تَقْتَنِعُ يُْتَرِرَا
نُهَنْ مُرْرَا
طَأُو حُرَو
حَفِيف مَرَان
حَنَيْنَ نَرْنَ
بَيَّاعَيْن مَارَان
اِسْتِحْفَاظُ اِسْتَرَا
مَسْفُوحَانِ مَرْرِينِ
هُنْدِسَ مُرْرِرْنِ
الدِّينَارَيْنِ الْمَارِيَانِ
التَّحْقِيق الْمَرْرِيرَان
تَخْتٍ تَرْتِين
تُودَعْنَ تُرَانَ
السِّيَاحِيَّانِ الْمَانِينِ
تُوَاصَلْنَ تُرَاتَرْتَرْنَرَا
يَتَتَرَّكْ تُسْتَرْنِرْنِ
اِسْتِنْسَارِ اِسْتِيَانِ
تُبَسْمِلَا اُسْرَرِي
أَرَاحَتَا مُرْرَانِ
تُتَمَنَّ يُسْتَرَا
الْقُبَّعَةُ الْمَرِينِ
الْأُيُورُ الْمَانِينِ
تَأْلِيهَ تَرْرِينِ
مُتَعَهِّدِينَ مَرْرِينِ
الْأَدَاحِيُّ الْمَرِينِ
مَوْضُوعَيْنِ مَرِينِ
نَيِّرَة مَارِين
زُبَّيْ مَرَا
مَوَانِي مَرَان
التَّشْرِيعِيَّتَانِ الْمَلْرِينِ
اِلْتَفَتْنَا مُتْتَرْتَرْتِينِ
تُنْبَأْ تُسَانِي
الْمُوَاطِنِ الْمَانِرَانِ
اِضْطَرَّتَا مُرْمَرْتَرْنَرَا
تَبْتَاعُو تُتَانِرْنِ
أَشْوَسَانِ مَرِينِ
تُدَنْدَنَّ تُرْرَرْنَ
دِيَانَة مَارَا
الْحِرَابَاتِ الْمَارِيَانِ
لَوْمٌ مَرِي
مُبَرْهَن مُرْرِرَا
تُفَاجَآ يُرَاتَرَا
الِاضْرِغْطَاطَ الْمَارِرَانِانِ
يُخَوَّشْنَ يُوَا
الطِّلَسْمَيْنِ الْمَرْتِينِ
جُمْهِرَا مُرْرَرَا
أُوقِنَّا مَرْرَ
الزَّوْرُ الْمَرِينِ
شَوَاهِينَ مَانِينِ
اِنْشِغَاف مَارِين
إِقْبَارُ مُرْرِيَانِ
اِسْتَأْ اِسْتَرِي
يَتَثَاءَبَا يُسْرَرَا
تُعْجَمْنَ تُسْرَرْنَ
تَسْتَكْثِرُو تُتَانِرْنِ
شَيْطَانِيَّتَيْنِ مَارِينَانِ
خُصًى مَرِين
الْمَوَانِي الْمَانِينِ
اُقْتُبِلْتُ مُتَانِرْنَ
الْمَسَاقُ الْمَارِينِ
قِرْمِزِيَّاتٍ مَرِينِ
الْكُوَارْكَ الْقَمِّيَّ الْمَارِينِ
تَسْتَهْزِئَا يُسْتَرِرَا
نَشْوَاتُ مَرَا
اِنْضَمَّا اُرْرَرَا
غَطَّيْتُمَا مُرَرَا
يَخْتَتِنُو يُتَاتِي
مُخَابَرَةٍ مُرْمَانِين
يَنْقَدْ يُرْرِرَا
تُثَابِرُونَ تُرَاتَرْتَرْنَرَا
مُنْقِذ مُسْرِينِ
رُبِّبْتَ مُرْرَرْنَرَا
يَبْدَأَ يُرَرِرَا
الْعُزُوب الْمَرِين
يُتَرْجِمْ يُسْرِرْنِ
أَسْدَاسٍ مَرْرِينِ
تَبْدُوَا اُرَانَا
جِبْنَ مُرَانِي
رِمَايَةِ مَارِيَانِ
شَارِعٍ مُوَانِرَانِ
وَجِيهٌ مَرِين
يَسْتَحْسِنَّ تُسْتَسْنِرْنِ
الْإِخْفَاءُ الْمَارِيَانِ
أَهْجَرْتِ مُرْرَرْنَا
عَاطِفَتَيْ مُوَاتَانِرَا
يَرْتَجِينَ يُتَانِي
الْوَاضِحَاتُ الْمَانِرَانِ
قُضْبَانُ مَرِينِ
يَسْتَظْهِرْنَ يُتَانِرْنِ
حَيَّيَا نَارَا
الْأَصَمَّيْنِ الْمَرْرَانِ
تُخَالِطَا تُرَارَرِي
جُدْرى مَرِينِ
تَصِيحُو تُرَارِي
يُقَهْقِهْنَ يُسْرِي
تَعَالَى تَرْرَا
حَالِمُونَ مُوَانِرَانِ
مَلْء اِسْرِرَا
تَسْتَنْسِبَا يُسْتَرِرَا
الشَّارِعَيْنِ الْمَانِرَانِ
إِرْسَال مَارِين
اِسْتَنْفَرَتَا اِسَرْتَرَا
دُلَّا أُرَانِ
طِفْلَيْنِ مَرْرَرَا
تَنْتَحِلِينَ تُْتَسْتِرْنِ
إِرْهَابِيَّةِ مُرْرَانِ
فَضِيلًا مَرِينِ
تُصَادِرَ يُرَانَرِي
أَسْبَغْتُمَا مُسْرِرْنَ
سُووِيَتْ اِرْرَا
سِرْبِ مُرْرِين
حَامَيْتَ مُورَانَا
الرَّحِيمَة الْمَرِيرَانِ
تَنْفُونَ تُرَرْنَ
أَسْتَحْسِنُ اِسْتَرِي
اِسْتِخْدَامُ اِسْتَرَا
جُمْهُورَيْ مَرْرَانِ
سَاخِرَتَيْنِ مَانِرَا
تُعْلَنَا تُسْتَرْنَرَا
بِيَانَةٌ مَارَانِ
الِاخْضِيضَاعُ الْمَارِيَانِ
يُفَتِّشَانِ يُسْتَرِي
اِخْضَوْضَرَا مُرْرَانِ
رُسُل مَرْرِين
الْإِعْطَاء الْمَارِيَان
الْحَمِيدَيْنِ الْمَرِينِ
غَرْغَرَتْ مُرْرَرْتَرْتَ
فَاجِئْ مُرَانِرَا
الِاسْتِعْبَادَ الْمَالْتِرَانِ
اِرْجَحْنَنَّا مُسْرِرْنَ
رَادَدْنَا مَارَا
تُنْدَى تُرَا
قَوْس قُزَح مَارِي
مُسْتَنّ اِسْتَرْتِنِ
تُسْتَرْزَقَا تُتَانِرَا
تُخْتَرَعَانِ تُتَانِي
كِيبُوتْسِ مُسْتِرَا
يُرِيحَا تُرَارِينَا
تَشْتَطُّ يُسْتَرْتِي
خَلِيقَات مَرِيَانِ
تُضَاعَا يُرَارِي
تَرْغَبَا تُرَرِي
عِطَاش مَرِيَانِ
يَبْطُؤَا يُرَرِرَا
اُسْتُثْنِيتُمْ اُْتَرْتَرْ
قَضِيَّتَا مَرِينَ
آنِسَتَيْن مَرَانَانِ
تُشِرْنَ تُرْرَرْنَا
مَعْنَى مَرْرَا
شِرَاعَيْنِ مَرَانِيَانِ
مَسَايَةَ مَارِيَانِ
الْبَهْلَوَانَاتِ الْمَرِيَانِ
هَيَاكِلَ مَانِينِ
تُحْبِطَا تُرْرِرَا
الذَّوْقَيْنِ الْمَرِينِ
اُخْتُرِقَتَا اِسْتَرْتِرَا
يَدْحُو يُرَانِي
الْجَاهِلَيْنِ الْمَانِرَانِ
اللَّانِهَايَةُ الْمَارِيَانِ
تُشَعَّا يُرْرَرَا
مَضْبُوطَتَيْنِ مَرْرِينِ
مُتَوَاضِعٍ مَرْتِينِ
رَجَوْتُمْ مُرْرَا
تَغْلِيب تَرْرِي
تُقَارَضَ يُرَانَرْنَنَا
يُرَبِّي يُرَرِي
غَيْمَتَيْ مَارِيَا
تَكْفُورٌ تَرِين
تُنْبِئْنَ تُسْرَرْنَو
تَشْخِيصًا تَرِيرَانِ
فِرْعَوْنَيْ مَرْرَرَا
تَلْتَفِتَانِ تُسْتَرْتَرِي
جِعْنَا نُورَا
تَجْهِيزَ تَرِينِ
مَشْهُورَاتٍ مَرِينِ
الرِّيَاحُ الشَّمْسِيَّةُ الْمَارِيَانِ
هِجْرَةٍ مَرَانِانِ
الْفَاجِرَة الْمَارِرَانِ
الْإِضَاعَةَ الْمَارِيَانِ
تَسْتَنَّ تُْتَرِي
التَّيْسِيرُ الْمَرِيرَانِ
يَسْتَصْبِحَا يُسْتَرِي
تُشَارِكُ يُرَانِرَا
الطَّاءَ الْمَارِيَانِ
الْقِطَطَ الْمَرَانِ
اِنْطَرِحِي اِسْتَرِرَا
الدَّكْنَاءَيْنِ الْمَرِينِ
بَاعَتْ مَارَا
الِاتِّحَادَاتِ الْمَانِرَانِ
يُطَاعُو يُوَارِي
أُدِّيَتْ اِسْرَ
اِسْتِقَامَة اِسْتَرَان
اِخْتَرْنَ اِسْتَرْنِرْنَ
يُنْدَيَا يُرَانَيْ
مُرْتَاحَانِ مَرْتَرِينِ
تُلَامِسْ يُرْرَرْنَرِي
الطَّازَج الْمَارِرَانِ
مَدْخَلُ مُرْرِين
شَدِيدَاتٌ مَرِينِ
تَسْبَغِلَّانِ يُسْتَرِي
الْكَاتِدْرَائِيَّتَيْن الْمَارِيَانِ
شَلَّالَاتِ مَارِيَانِ
غَرِيبَتَيْن مَرَانَانِ
الثَّقَالَةَ الْمَارِيَانِ
اِجْلِنْفَاع اِسْرِرْنِ
وَقَائِع مَاتِرَانِ
يَبْرُزْنَ يُرْرِرْنِ
أُبْهِمَ مُرْرِي
تُنَاوَلْ يُرَارَرْنَ
اُسْتُحْمِلَتْ اِسَانِرْنِ
بْرُوتُونُ مُسْتِي
رُخْصَة مُرْرَان
عُقُوبَة مَرَان
تُقْتَضَبَ تُْتَسْتَرَا
اِشْتِرَاكِيَّةً دِيمُقْرَاطِيَّةً اِسْتِيَارَانِ
كَافَأَتْ مُولَانَرْنَ
اُسْتُثْمِرَا اِسَمْتَرَا
الْبُرْءَيَاتِ الْمَرْتِينِ
اللَّازِمَ الْمَارِينِ
مَجْلِسَ مُرْرِرَا
أَحْقَوْقِفُ اِسْرِرِي
الْقُدْرَتَيْن الْمَرَانِ
نَرْجَحِنَّ مُرْرِرْنِ
غَنِّي نُرْرَ
الْمَاطِرَةُ الْمَارِرَانِ
الْأَمَامِيَّيْن الْمَارِيَانِ
يَبْتَدِئْ يُتَانِي
مَسْلَكَيْ مُرْرِرَا
تَنْفَعِلِينَ تُسْتَرْتِرْنِ
تُرَاجِعْنَ تُرَانَرْتِرْنَ
الْمَصِير الْمَارِيرَانِ
مُشْتَمَل اِسْتَرِينِ
تُزَدْ تُرَارِي
تُجَاوِرْنَ تُرَارِرْنَرَا
اللَّيْقُ الْمَرِينِ
الْمَرَارَةِ الْمَارِيَانِ
الدِّمَاغُ الْمَارِيَانِ
الْبَرْوَازَانِ الْمَرِينَانِ
التَّنْبَلَاتُ الْمَسْرِينِ
كُحُولِيٍّ مَرِينِ
يُنَاقَشْ يُرَانَرْنَ
اِنْعَكَسَا مُسْمَرْتَرَا
عَاطِفِيَّاتٍ مَانِرِينِ
حَسَنَتَيْنِ مَرَانِ
الْغُرُورُ الْمَرِينِ
جُدْرَيَاتٍ مَرِينِ
أَنْعَقِدْ اِسْرِرَا
أَجْرُؤُ مُرْرِينِ
يُسَمَّمَا يُرَارِرَا
تُظَاهَرُ تُرَاتَرْنَرَا
الْحُجَّاجَ الْمَارِيَانِ
حَرِيمٌ مَرِين
سَكَرَات مُرْرَانِيْ
السِّكِّينُ الْمَرِينِ
فِعْلَ الْمِثَالِ الْمَارِيَانِ
قُعُود مَرَا
سِرْبَيْ مُرْرَرَا
أَلِفْبَائِيًّا مَرِيَانِ
الْأَزْمَتَانِ الْمَرِينِ
مُدَوَّنَةٌ إِلِكْتْرُونِيَّةٌ مَرْرِينِ
جَوَاذِبُ مَارِرَانِ
شَفَيَا مَرَا
أَجْذَبَيْنِ مَرْرَانِ
تُذْرَى تُرَارَانَ
مُؤْتَمَرَات مُسْتَرِين
الْمُفَضَّلَتَيْنِ الْمَرْرِرَا
الْحُظْوَة الْمَرَان
دَاعِشِيَّة مَانِرَا
اُقْتُرِحْتُنَّ اِسْتَرْتِرْنِ
حُيِّيتِ مُرْرَا
تَضِفْنَ تُرَارِي
خَرَاشِيفَ مَرِينِ
طَهَّرَتَا مُرْرَرَا
تَصْغُونَ تُرْرَو
عَاهِرَاتٌ مُونَانِرَانِ
